eez_list,trip_count,total_trips
"I4,I5,MH,PX",3,20444
"GL,H4,MH,PX",3,20444
"FM,NR,PG,TV",3,20444
"FM,MH,NR,TV",3,20444
"H5,LN,PX,TK",3,20444
"GL,H4,NR,PG,TV",3,20444
"FM,I4,MH",3,20444
"CK,LN,TK",3,20444
"GL,H4,SB",3,20444
"GL,SB,TK,TV",3,20444
"FM,MH,NR,PG,TV",3,20444
"FM,GL,H4,H5,I4",3,20444
"GL,H5,I4,PX,TV",3,20444
I2,3,20444
"FM,I2,PG,SB",3,20444
"CK,GL,H5,PX,TK,TV",3,20444
"GL,I4,I5,PX,TV",3,20444
"FM,GL,I4,I5",3,20444
"H4,I4,TV",3,20444
"CK,GL,PX,TK,TV",3,20444
"H4,H5,I4,I5,PX",3,20444
"FM,GL,I2,NR,PG",3,20444
"H4,TK,TV",3,20444
"GL,PG,PX,TV",3,20444
"GL,NR,PG,PX,SB,TV",3,20444
"FM,GL,H4,I4,NR",3,20444
"GL,I2,NR,TV",3,20444
"H4,H5,I4",3,20444
"GL,H4,H5,PX,TK",3,20444
"FM,GL,H4,I4",3,20444
"GL,I4,MH,PG",3,20444
"GL,H5,I5,LN,PX",3,20444
"GL,H4,H5,I5",3,20444
"CK,GL,PX,TK",3,20444
"GL,I4,SB,TV",3,20444
"GL,I4,MH,NR,PG",3,20444
"FM,GL,H4,PG,PX",3,20444
"FM,GL,I4,MH,TV",3,20444
"GL,LN,NR,PG,PX",3,20444
"GL,I4,MH,NR,PG,TV",3,20444
"CK,H5,I5,LN,PY",3,20444
"GL,H4,H5,I4,PX,TK,TV",3,20444
"MH,SB",3,20444
"GL,I2,NR,SB",3,20444
"FM,GL,I2,MH,NR,PG",3,20444
"FM,I3,PW",3,20444
"I5,IW,PY",3,20444
"NR,PG,TV",3,20444
"FM,GL,MH,NR,PG,SB,TV",3,20444
"FM,I4,I5,PG",3,20444
"H5,LN,TK",3,20444
"H4,I4,PX,TV",3,20444
"FM,I3",3,20444
"H5,I4,I5,LN",3,20444
"FM,MH,TV",2,20444
"FM,I4,MH,PG",2,20444
"H5,HB,PX",2,20444
"H5,I4,I5,PY",2,20444
"GL,H4,H5,NR,PX",2,20444
"FM,GL,MH,TV",2,20444
"H5,I4,I5,IW,LN,PY",2,20444
