vessel_flag,eez_code,offset,count
MH,MH,-10,6
MH,MH,0,1
MH,MH,3,1
MH,MH,4,22
MH,MH,10,2
MH,MH,11,25
MH,MH,12,1914
NC,NC,-11,7
NC,NC,-10,1
NC,NC,9,2
NC,NC,10,28
NC,NC,11,1123
NC,NC,12,18
PF,PF,-12,12
PF,PF,-11,4
PF,PF,-10,5247
PF,PF,-9,3
PF,PF,-8,2
PF,PF,0,15
PF,PF,2,17
PG,PG,10,21
SB,I2,10,4
SB,I2,11,9
SB,I3,11,8
SB,SB,-12,1
SB,SB,-11,64
SB,SB,11,558
SB,SB,12,213
TO,AS,-11,1
TO,CK,-11,105
TO,I7,-11,5
TO,I7,-10,1
TO,I7,12,2
TO,TO,-11,526
TO,TO,9,5
TO,TO,11,9
TO,TO,12,14
TV,H4,-11,18
TV,I2,12,7
TV,I8,12,31
TV,TV,-11,33
TV,TV,-10,1
TV,TV,12,13
TW,I2,-11,2
TW,I2,12,1
TW,I7,-11,1
TW,MH,-10,2
TW,MH,12,33
TW,PW,9,4
TW,SB,-11,75
TW,SB,8,1
TW,SB,10,1
TW,SB,11,366
TW,SB,12,128
TW,TO,-13,13
TW,TO,-12,1
TW,TO,-11,4830
TW,TO,-10,10
TW,TO,-6,1
TW,TO,0,1
TW,TO,9,1
TW,TO,11,4
TW,TO,12,87
TW,WF,-11,1
US,TO,-11,18
VU,H4,11,1
VU,H4,12,5
VU,H5,-11,53
VU,H5,12,1
VU,HW,12,1
VU,I1,10,7
VU,I2,11,2
VU,I2,12,5
VU,I3,11,16
VU,I4,-11,49
VU,I4,12,124
VU,I5,-11,39
VU,I5,-10,150
VU,I5,-9,201
VU,I5,-8,3
VU,I5,0,1
VU,I5,5,1
VU,I5,11,3
VU,I5,12,72
VU,I6,-12,1
VU,I6,-11,54
VU,I6,-10,17
VU,I6,9,4
VU,I6,10,16
VU,I6,11,103
VU,I6,12,45
VU,I7,-11,86
VU,I7,-10,79
VU,I7,5,65
VU,I7,9,2
VU,I7,10,1
VU,I7,11,12
VU,I7,12,81
VU,IW,-11,47
VU,IW,-10,107
VU,IW,-9,62
VU,IW,-2,1
VU,IW,11,70
VU,IW,12,21
VU,NU,-13,2
VU,NU,-12,50
VU,NU,12,64
VU,PG,-11,1
VU,PG,10,93
VU,SB,-10,1
VU,SB,12,48
VU,VU,-12,1
VU,VU,12,44
WS,AS,-11,2
WS,AS,12,2
WS,H4,-11,6
WS,H4,12,21
WS,NU,-11,33
WS,SB,-11,1
WS,SB,11,37
WS,TK,-11,92
WS,TK,-10,10
WS,TK,11,30
WS,TK,12,46
WS,WS,-11,220
WS,WS,-10,2
WS,WS,12,38
