eez_list,trip_count,total_trips
"I1,I2,I3,SB",2,41622
"FM,I1,I2",2,41622
"FM,GL,H4,I4",2,41622
"AS,TK,TO,WS",2,41622
"I7,I8,SB,VU",2,41622
AU,2,41622
"GL,H5,I4,I5,LN,PX",2,41622
"CK,H5,I5,LN,PX",2,41622
"I7,IW,PN",2,41622
"CK,H5,WS",2,41622
"FJ,SB",2,41622
"LN,PX",2,41622
"I7,MA",2,41622
"NC,SB,VU",2,41622
"FM,I3,JP",2,41622
"GL,I2,VU",2,41622
"GL,H4,TV",2,41622
"GL,H5,PX",2,41622
"GL,H5,I2,I4,LN,PX",2,41622
"GU,MP",2,41622
"H4,SB,TK",2,41622
"H4,H5,I2,I4,I5",2,41622
"H5,I3,I4,I5,IW",2,41622
"H4,H5,I2,LN,PX,TV",2,41622
"H4,H5,I2,I4,TV",2,41622
"GL,H4,I4,TV",2,41622
"H4,H5,I2,I8,TV",2,41622
"GL,H4,H5,I4,I5,LN,PX,TV",2,41622
"H4,H5,I8,VU",2,41622
"GL,H4,H5,I5,LN,PX,TV",2,41622
"H4,H5,PX",2,41622
"GL,H4,H5,LN,PX,TV",2,41622
"H5,I4,JV,LN",2,41622
"FM,I2,I8",2,41622
"H5,I4,LN,PX",2,41622
"CK,H4,I5,LN,PX",2,41622
"H5,I4,I5,JV,LN",2,41622
"FM,H5,PX",2,41622
"H5,I4,I5,JV,LN,PX",2,41622
"FJ,I7,IW",2,41622
"I2,I3,I4,SB",2,41622
"CK,FM,I2",2,41622
"H4,I2,I8,TV,VU",2,41622
"CK,H5,I5,I9",2,41622
"H5,TV",2,41622
"CK,FM,H4",2,41622
"I2,MH",2,41622
"I8,SB,TV,VU",2,41622
"I8,NC,SB,VU",2,41622
"GL,H5",1,41622
"I4,IW",1,41622
"PG,VU",1,41622
"I8,PX,TV",1,41622
"GL,H5,I2,I4,I5,LN,PX",1,41622
"I4,I5,I6,IW",1,41622
"PX,TV,VU",1,41622
"I8,MA,SB,VU",1,41622
"GL,H5,I2,I4,I5,TV",1,41622
"I4,I5,IW,LN",1,41622
"LN,TK,TO,WS",1,41622
"I9,WS",1,41622
"GL,H5,I2,I8,PX,TV",1,41622
"I4,I5,LN,PX",1,41622
"MA,NC,VU",1,41622
"TK,WF",1,41622
"GL,H5,I2,PX,TV",1,41622
"I4,I5,PX",1,41622
