eez_list,trip_count,total_trips
"CK,H5,I5,LN,PY",3,20668
"I4,PG",3,20668
"H5,LN,TK",3,20668
"FM,I3,PW",3,20668
"FM,I2,PG,SB",3,20668
"I4,I5,MH,PX",3,20668
"FM,GL,H4,I4,NR",3,20668
"GL,H5,I5,LN,PX",3,20668
"GL,H4,I4,MH,PX",3,20668
"GL,H4,H5,I4",3,20668
"GL,I4,MH,NR,PG",3,20668
"FM,GL,H4,H5,I4",3,20668
"GL,LN,NR,PG,PX",3,20668
"GL,H4,H5,PX,TK",3,20668
"GL,H4,MH",3,20668
"FM,I3",3,20668
"GL,PG,PX,SB",3,20668
"GL,I2,NR,SB",3,20668
"FM,I4,MH",3,20668
"FM,GL,H4,PG,PX",3,20668
"GL,PG,PX,TV",3,20668
"GL,I4,MH,NR,PG,TV",3,20668
"H4,H5,I4",3,20668
"FM,GL,I2,MH,NR,PG",3,20668
"H4,TK,TV",3,20668
"GL,I4,MH,PG",3,20668
I2,3,20668
"FM,GL,I4,I5",3,20668
"H5,LN,PX,TK",3,20668
"CK,GL,PX,TK,TV",3,20668
"CK,LN,TK",3,20668
"GL,NR,PG,PX,SB,TV",3,20668
"GL,H4,SB",3,20668
"H4,I4,TV",3,20668
"FM,MH,NR,TV",3,20668
"H5,I5,LN,PY,TK",2,20668
"CK,I5,IW",2,20668
"GL,I4,PG,TV",2,20668
"I4,I5,PY",2,20668
"H5,NR",2,20668
"H5,LN,TK,TV",2,20668
"I4,I5,NR",2,20668
"H4,PX,SB,TV",2,20668
"I1,ID,PW",2,20668
"FM,GL,I4,MH,NR,PG,TV",2,20668
"HB,PX",2,20668
"GL,I5,LN",2,20668
"H5,PX,SB,TK,TV",2,20668
"H5,I5,PX,TK",2,20668
"I4,LN,PX",2,20668
"GL,H4,H5,I4,I5,PX",2,20668
"H5,I4,I5,PY",2,20668
"FM,I3,PG",2,20668
"MH,NR,SB,TV",2,20668
"I2,PG,SB",2,20668
"PG,PX,SB,TK",2,20668
"H4,NR,SB,TV",2,20668
"H5,LN,PX,TV",2,20668
"H5,I4,I5,IW,LN,PX",2,20668
"GL,H5,LN,NR,PG,PX",2,20668
"FM,H4,PX,TV",2,20668
"CK,H4,TK,TV",2,20668
"GL,I4,I5,NR,TV",2,20668
"CK,H5,LN,TK,TV",2,20668
"I4,I5,TV",2,20668
"H5,HB,PX",2,20668
"GL,H5,HB,I4,TV",2,20668
"NR,SB,TV",2,20668
"GL,H4,H5",2,20668
"FM,GL,H4,PG,PX,TV",2,20668
"H5,IW,TK",2,20668
"AS,CK,TK",2,20668
"H4,PG,PX,SB",2,20668
"GL,H4,H5,NR,PX",2,20668
"H5,I4,I5,IW,LN,PY",2,20668
"I5,PX",2,20668
"GL,H4,H5,I4,I5,PX,TV",2,20668
"FM,GL,NR,PX",2,20668
"FM,GL,PX",2,20668
"FM,GL,HB,I4,NR,PG",2,20668
"I4,NR",2,20668
"GL,H4,HB,I4,PX,TV",2,20668
"GL,H5,NR,PX",2,20668
"GL,H4,H5,LN,PX,TK,TV",2,20668
"GL,H4,H5,TK,TV",2,20668
"FM,H4,I4,PG,SB",2,20668
"H4,H5,TK,TV",2,20668
"FM,GL,NR,PG,PX,SB,TV",2,20668
"GL,NR,PG,PX,SB",2,20668
"GL,H4,I4,I5,MH",2,20668
"GL,H5,I4,I5,LN,TV",2,20668
"FM,H4,NR,PG",2,20668
"GL,H4,I4,I5,PX,TV",2,20668
"FM,NR,PX,SB,TV",2,20668
"GL,H4,PG,PX,SB,TV",2,20668
"GL,H4,H5,I5,LN,PX",2,20668
"H5,I5,IW,LN,PY",2,20668
"FM,I4,NR,PG",2,20668
"GL,H4,NR,SB",2,20668
"FM,GL,I2,NR,PG,TV",2,20668
"GL,H4,HB,PX,TK,TV",2,20668
"FM,TV",2,20668
"H4,PG,SB,TV",2,20668
"FM,H5,I4,NR",2,20668
"GL,MH,PX,TV",2,20668
"FM,GL,H5,I4,NR,PX",2,20668
"GL,I4,NR,PX,TV",2,20668
"FM,GL,H4",2,20668
"GL,I2,NR,SB,TV",2,20668
"FM,I4,I5,MH",2,20668
"FM,H4",2,20668
"FM,I2,MH,NR,PG",2,20668
"GL,PG,PX",2,20668
"CK,H5,IW,LN",2,20668
"GL,H4,PX,SB,TK,TV",2,20668
"GL,H5,NR,PX,TV",2,20668
"GL,PX,SB",2,20668
"FM,GL,I4,NR,PX",2,20668
"GL,H4,TK",2,20668
"FM,I4,I5,NR",2,20668
"GL,H5,I5,PX,TV",2,20668
"CK,H5,LN,PX,TV",2,20668
"CK,H4,H5,I5,IW,LN",2,20668
"GL,H4,NR,PG,PX,TV",2,20668
"FM,I4,MH,PG",2,20668
"FM,GL,MH,NR,SB,TV",2,20668
"FM,PG,PX,SB,TV",2,20668
"GL,H5,TK",2,20668
"LN,MH",2,20668
"GL,H4,MH,NR,PX,TV",2,20668
"CK,JV,LN",2,20668
"GL,H4,I4,MH,PX,TV",2,20668
"GL,H4,H5,TV",2,20668
"GL,H4,NR,PX,TK,TV",2,20668
"GL,H4,I5",2,20668
"GL,H4,NR,PG,PX,SB,TV",2,20668
"GL,H4,HB,I4",2,20668
"GL,H4,PG,SB,TV",2,20668
"AS,CK,H5,I5,LN",2,20668
"GL,H4,NR,SB,TV",2,20668
"GL,I4,PX,TK",2,20668
"GL,H4,PG,SB,TK,TV",2,20668
"CK,HB,PX,TK",2,20668
"GL,H4,I4,PX,TK",2,20668
"GL,H4,H5,MH,PX,TV",2,20668
"H4,I4,PX,TK,TV",2,20668
"FM,GL,NR,PG,PX,TV",2,20668
"GL,H4,PG,SB",2,20668
"GL,I4,I5,TV",2,20668
"GL,H5,PX,TK",2,20668
"FM,GL,MH,SB",2,20668
"GL,I4,MH,NR,PG,SB,TV",2,20668
"FM,I1,ID",2,20668
"H4,I4,MH,PX",2,20668
"AS,CK,H5,I5,LN,PY",2,20668
"GL,NR,PX,SB,TK,TV",2,20668
"GL,MH,NR,PG,TV",2,20668
"GL,H5,I5,PX",2,20668
"CK,H5,I4,I5,LN,PX,TK",2,20668
"GL,LN,MH,NR,PX",2,20668
"FM,GL,MH,TV",2,20668
"GL,I4,LN,PX",2,20668
"FM,H4,PG,SB",2,20668
"GL,H5,MH,NR",2,20668
"GL,HB,TV",2,20668
"GL,I4,MH,SB",2,20668
"FM,GL,NR,PX,SB,TV",2,20668
"GL,H4,I4,PG,SB",2,20668
"FM,GL,NR,PX,TV",2,20668
"GL,I4,NR,PX",2,20668
"AS,CK,LN,PX,TK",2,20668
"GL,I2,SB,TV",2,20668
"FM,H5",2,20668
"FM,I2,MH",2,20668
"FM,GL,H5,PX",2,20668
"AS,H5,I5,IW,LN",2,20668
"CK,H4,PX,TK,TV",2,20668
"FM,I2,NR,PG,SB",2,20668
"FM,GL,H4,I4,MH",2,20668
"CK,H4,H5,TK",2,20668
"H4,I4,NR",2,20668
"CK,H5,I5,PX",2,20668
"CK,H5,I4,I5,LN,PX",2,20668
"CK,H5,I5,LN,PX",2,20668
"GL,H4,H5,I5,LN,TV",2,20668
"FM,GL,I4,MH,PG,SB",2,20668
"FM,MH,TV",2,20668
"CK,H5,I5,LN,TK",2,20668
"GL,H4,NR,PG,SB",2,20668
"FM,GL,NR,PG,PW,SB",2,20668
"HB,I4,I5,TV",2,20668
"CK,LN,PX,TK",2,20668
"GL,H4,NR,PG,SB,TV",2,20668
"I6,JP",2,20668
"H4,H5,I5,PX",2,20668
"H5,I5,TK",2,20668
"I4,TV",2,20668
"H5,TV",2,20668
"I5,LN,MH",2,20668
"GL,PX,TK",2,20668
"I6,IW,JP",2,20668
"GL,MH,PG,PX,SB,TV",2,20668
"H4,PG,SB",2,20668
"H5,I4,I5,IW",2,20668
"GL,H5,I4,I5,MH",1,20668
"GL,PG,PX,SB,TK,TV",1,20668
"GL,H5,MH,PX",1,20668
"GL,H4,PG,PX",1,20668
"GL,LN,NR,PX,SB,TV",1,20668
"AS,CK,H5,I5,PY",1,20668
"GL,I5",1,20668
"CK,H5,PX,WS",1,20668
"GL,H4,NR,PX,SB",1,20668
"H5,I5,LN,PX,PY",1,20668
"GL,H5,I5,TV",1,20668
"IW,PA",1,20668
"GL,MH,NR,PX,SB,TV",1,20668
"CK,H5,I5,LN,PX,TK,TV",1,20668
"GL,I5,PX",1,20668
"H5,I4,I5,LN,PG",1,20668
"GL,HB,I5,PX",1,20668
"H5,I5,PX,PY,TK",1,20668
"GL,HB,I5,IW,LN,PX,PY",1,20668
"GL,H4,I4,PG,PX,SB,TV",1,20668
"GL,I4,MH,PX,TV",1,20668
"CK,GL,PX,SB,TK,TV",1,20668
"GL,IW,LN,PX",1,20668
"CK,H5,TV",1,20668
"GL,I2,MH,NR,PG,SB",1,20668
"H4,HB,I4,PX",1,20668
"GL,H4,SB,TK,TV",1,20668
"MH,PG,SB,TV",1,20668
"GL,H5,LN,PX,PY,TV",1,20668
"AS,CK,H5,I4,LN,PX",1,20668
"GL,NR,PG,PX,TV",1,20668
"H5,I4,I5,LN,PX,PY",1,20668
"GL,I2,MH,PG,SB,TV",1,20668
"H4,I4,SB,TV",1,20668
"GL,H5,I4,MH,NR",1,20668
"GL,H4,I4,PX,SB,TV",1,20668
"GL,I4,NR,PG,TV",1,20668
"CK,H5,I5,PX,TK",1,20668
"H4,H5,I4,I5,TK,TV",1,20668
"FM,GL,H4,H5,I4,LN,MH,TV",1,20668
"GL,H5,IW,LN,PX",1,20668
